@relation cloneEval

@attribute numInstance real
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,false,1.0,40,331,false,0,0.7096774193548387,0.0,false,true,7,0.006190530780694715,0.013333333333333334,3.4391837670526195E-4,1.1463945890175398E-4,3.4391837670526195E-4,1.1463945890175398E-4,0.0,0.005846612403989453,3.4391837670526195E-4,0.0,0.0,42,0.0,0.047619047619047616,0.3333333333333333,0.023809523809523808,refactored
2,false,1.0,20,88,true,5,0.0,0.0,false,false,3,0.0029806259314456036,0.013333333333333334,2.2927891780350797E-4,1.1463945890175398E-4,2.2927891780350797E-4,1.1463945890175398E-4,2.2927891780350797E-4,0.0027513470136420956,0.0,2.2927891780350797E-4,0.0,4,0.0,0.0,1.0,0.0,refactored
3,true,0.25,40,182,true,13,0.06666666666666667,0.0,true,false,5,0.013183537773701709,0.02666666666666667,0.0012610340479192938,3.4391837670526195E-4,0.0018342313424280637,5.731972945087699E-4,0.0012610340479192938,0.011922503725782414,0.0,0.0,0.0012610340479192938,32,0.8125,0.09375,0.21875,0.03125,refactored
3,true,0.1,16,98,true,5,0.16666666666666666,0.0,true,false,3,0.013183537773701709,0.02666666666666667,0.0012610340479192938,3.4391837670526195E-4,0.0018342313424280637,5.731972945087699E-4,0.0012610340479192938,0.011922503725782414,0.0,0.0,0.0012610340479192938,1,1.0,0.0,0.0,0.0,refactored
2,false,1.0,27,148,true,2,0.35714285714285715,0.0,false,false,4,0.017425197753066606,0.02666666666666667,3.4391837670526195E-4,0.0,0.0010317551301157859,4.5855783560701593E-4,3.4391837670526195E-4,0.017081279376361343,0.0,3.4391837670526195E-4,0.0,37,0.0,0.08108108108108109,0.35135135135135137,0.02702702702702703,refactored
2,false,1.0,26,144,false,2,0.3888888888888889,0.0,false,true,3,0.012495701020291185,0.0,0.0,0.0,0.0011463945890175398,6.878367534105239E-4,0.0,0.012495701020291185,0.0,0.0,0.0,16,0.0,0.0,0.4375,0.0,refactored
2,false,0.46153846153846156,12,85,false,0,0.375,0.0,false,true,2,0.012495701020291185,0.0,0.0,0.0,0.0011463945890175398,6.878367534105239E-4,0.0,0.012495701020291185,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,refactored
2,false,1.0,22,92,true,7,0.13333333333333333,0.0,false,false,8,0.03851885819098934,0.04,5.731972945087699E-4,1.1463945890175398E-4,0.0037831021437578815,5.731972945087699E-4,5.731972945087699E-4,0.03794566089648057,0.0,5.731972945087699E-4,0.0,10,0.0,0.0,0.4,0.0,refactored
3,false,1.0,13,54,true,5,0.1,0.0,false,false,5,0.051931674882494554,0.04,3.4391837670526195E-4,1.1463945890175398E-4,0.0029806259314456036,0.0011463945890175398,3.4391837670526195E-4,0.05158775650578929,0.0,0.0,3.4391837670526195E-4,6,0.0,0.16666666666666666,0.6666666666666666,0.0,refactored
2,false,0.175,21,150,true,2,0.6111111111111112,0.0,false,false,8,0.10008024762123123,0.13333333333333333,0.0037831021437578815,0.0013756735068210478,0.011807864266880661,0.0034391837670526195,0.0037831021437578815,0.09629714547747335,0.0,0.0037831021437578815,0.0,6,0.0,0.0,0.6666666666666666,0.0,refactored
